model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
LSTM,0.05,3,128_64_32,128,30,32,23022.1742735252,99.6763877953036
GRU,0.05,3,64_32_16,16,30,32,13039.983349978036,69.87387733229565
LSTM,0.05,3,64_32_16,16,30,32,23018.737964589956,99.98984731291057
GRU,0.05,3,64_32_16,32,30,32,14775.649521992738,77.34796674629736
LSTM,0.05,3,64_32_16,32,30,32,23015.174527124884,99.88782762284546
GRU,0.05,3,64_32_16,64,30,32,13663.63153237461,77.47276975542151
LSTM,0.05,3,64_32_16,64,30,32,23024.4068858425,99.30690493847378
GRU,0.05,3,64_32_16,128,30,32,23019.01734053295,100.0111102215288
LSTM,0.05,3,64_32_16,128,30,32,23016.75540175079,99.73491931442584
GRU,0.1,1,16,16,30,32,10628.891981962019,63.64825641407983
LSTM,0.1,1,16,16,30,32,10739.970546395742,64.87895122901739
GRU,0.1,1,16,32,30,32,10576.021291507303,64.05308060873755
LSTM,0.1,1,16,32,30,32,10418.342237860978,63.165052950332495
GRU,0.1,1,16,64,30,32,10173.132678909044,62.19172176848943
LSTM,0.1,1,16,64,30,32,23032.18225357174,98.98039602118854
GRU,0.1,1,16,128,30,32,10572.112183223537,63.052207317285344
LSTM,0.1,1,16,128,30,32,23027.558530786653,99.1059650504263
GRU,0.1,1,32,16,30,32,10796.27361406902,64.99824226511275
LSTM,0.1,1,32,16,30,32,10748.222357343875,64.220370347374
GRU,0.1,1,32,32,30,32,10254.594805145416,63.26482173223133
LSTM,0.1,1,32,32,30,32,14773.749710358898,80.23406866811207
GRU,0.1,1,32,64,30,32,10485.278979341812,63.58177298870424
LSTM,0.1,1,32,64,30,32,10417.26274794365,63.73641635938483
GRU,0.1,1,32,128,30,32,10315.60507137269,63.92079759751008
LSTM,0.1,1,32,128,30,32,23025.44734605122,99.17637941474291
GRU,0.1,1,64,16,30,32,13706.909746648682,74.63641517902417
LSTM,0.1,1,64,16,30,32,10258.549529404756,61.97517808731901
GRU,0.1,1,64,32,30,32,10440.395031609734,62.95692767416044
LSTM,0.1,1,64,32,30,32,10760.758190813676,65.0645813582504
GRU,0.1,1,64,64,30,32,10210.362048322866,63.095863503675226
LSTM,0.1,1,64,64,30,32,23034.93518228908,98.91153601885111
GRU,0.1,1,64,128,30,32,10475.06715433995,63.19270045887248
LSTM,0.1,1,64,128,30,32,10558.221253302423,63.47633666790071
GRU,0.1,1,128,16,30,32,10565.17800951222,63.64837258420596
LSTM,0.1,1,128,16,30,32,10859.71775408282,63.69053033669189
GRU,0.1,1,128,32,30,32,9982.464266796176,60.594545396541676
LSTM,0.1,1,128,32,30,32,10577.044367040811,64.39140133775933
GRU,0.1,1,128,64,30,32,10299.32799723,62.991378453314894
LSTM,0.1,1,128,64,30,32,15344.805404544848,80.83875225271024
